"","item","alpha","beta"
"1","116merits7",-1.58882010540399,-1.60467724572678
"2","116merits9",-1.11220228896385,-0.443520096870571
"3","126jurisdiction1",3.90597571593531,-3.49952943344045
"4","124preliminary_objections2b",-1.52452852061125,-1.53272157866708
"5","91judgment1",-2.64622877251192,5.23565351476593
"6","91judgment2",1.30481331863531,3.48018353459754
"7","91judgment9",1.31600469044661,3.47360593043977
"8","124preliminary_objections1a",-0.419918961289802,-1.09554358673336
"9","124preliminary_objections2a",0.699478857155474,0.933123419555642
"10","91judgment4",0.209178113517585,3.63946666643895
"11","91judgment3",1.31658828451717,3.46914934554878
"12","91judgment7",-2.98893913858494,2.52072705174592
"13","91judgment5",-1.96692848560283,1.92793174158726
"14","118preliminary_objections5",-3.0714148340292,5.24452052651675
"15","130judgment1",0.800498436488561,0.171204287508376
"16","118preliminary_objections2",-2.36016256279368,3.81931034636879
"17","139request_for_provisional_measures3",-1.86086710732527,-4.28394594046221
"18","139request_for_provisional_measures2b",-1.85873594944197,-4.27691105927652
"19","118preliminary_objections1",-1.75113485895753,4.51517281373417
"20","139request_for_provisional_measures2a",-0.196000746615907,-0.0848158472970692
"21","118preliminary_objections3",-1.73931592957475,4.48461696920344
"22","118preliminary_objections4",-2.42558430633281,4.97124221319868
"23","140request_for_provisional_measuresA",-0.497132219455249,2.36223883715859
"24","139request_for_provisional_measures1",-0.205476597838009,-0.0836823866154496
"25","133judgment1d",-0.900765801544532,1.65142776927295
"26","133judgment1g",-2.91901457372743,2.56871563310289
"27","133judgment3",-1.71423726994222,0.211662114712968
"28","133judgment4a",-0.894542908748027,1.62793971155028
"29","139request_for_interpretation1",1.59243227885368,0.161879992586341
"30","144request_for_provisional_measures1",2.14281371803583,4.25494314703672
"31","139request_for_interpretation4",1.59719586874632,0.16907100541285
"32","139request_for_interpretation3",-1.48657367736569,-0.804590469210299
"33","139request_for_interpretation5",1.58688082253806,0.173201922966117
"34","103judgment1",-0.177726712634049,5.40835104195204
"35","103judgment5",2.15934539819463,4.24279636703055
"36","141advisory_opinion2",-0.836847877888255,2.66873176744493
"37","141advisory_opinion3",-1.16301285475451,2.79322944396664
"38","103judgment6",0.272395260366891,5.11773922226659
"39","143counter_claimA",2.28631263566252,3.67806054117985
"40","135judgment2",1.00570862454711,1.52773674737569
"41","140preliminary_objections1b",0.217380506708114,1.35092045611845
"42","151request_for_provisional_measures1",-0.714057057444288,0.405098026022591
"43","140preliminary_objections2",0.218457430753948,1.33475538858192
"44","142judgment1",-2.66214199478924,1.93023624790494
"45","151request_for_provisional_measuresD",-2.291134135952,1.16451676068704
"46","140preliminary_objections1a",-2.37097896339451,4.54436233347462
"47","151request_for_provisional_measures4",-2.27917314247418,1.16571227602733
"48","151request_for_provisional_measures2",-2.2949034447858,1.17284460415624
"49","151request_for_provisional_measures3",-2.28383343386389,1.16116786180154
"50","151request_for_provisional_measuresC",-2.27841043858439,1.15237715475892
"51","150request_for_provisional_measures2",-1.54606215785934,1.7930210783896
"52","143judgment2",-2.06091431723031,-4.43177516377276
"53","124judgment2",-1.68185827053505,0.133290182750371
"54","143judgment1",-1.09569653611582,-4.56240928596768
"55","144merits3",-2.88328986768761,2.66405747945118
"56","143judgment4",-2.0682310426952,-4.35422870099064
"57","144merits4",-1.22310893593931,0.268955303908723
"58","143judgment3",-2.07594271513621,-4.37485670519941
"59","144merits2",1.59858637449985,0.582816507704903
"60","144merits5",-2.86548393081384,2.63817141696144
"61","150 & 152request_for_provisional_measures1",2.1987136842103,4.34944644496103
"62","156request_for_provisional_measures2",-1.20596332885143,0.0609588133762771
"63","156request_for_provisional_measures1",-1.06809259137773,0.685503557937518
"64","137judgment4",-0.620331336716576,0.932530458699586
"65","148merits7",-0.473062281830375,-1.39924673345945
"66","137judgment2",-1.66507913643115,-1.76195126476646
"67","148merits2",-0.472267470548502,-1.41148934490849
"68","148merits5",-0.477053591544448,-1.41586906126072
"69","148merits4",-0.472666176690953,-1.40848047717598
"70","137judgment3",-0.617503468498528,0.923760800104337
"71","137judgment1",-2.20861167388251,1.41067937588895
"72","148merits6",1.11224100827724,1.27166777441987
"73","148merits3",-0.47346891888275,-1.40973088677143
"74","153preliminary_objections2",-2.24337518625322,1.60108340054432
"75","150&152merits1",3.27690493710382,-3.33104223159646
"76","150&152merits5c",-0.935311323666827,0.487695569831599
"77","118merits1",-0.85734722315837,1.68618729595924
"78","153preliminary_objections1",-2.22402115338292,1.58927383630346
"79","118merits2",2.19072178777876,4.34586547499044
"80","158jurisdiction2",0.468163826570462,4.55819198684665
"81","159jurisdiction2",0.471222421938047,4.5807587084751
"82","154preliminary_objections1e",-0.217676832958119,-1.5311318506602
"83","158jurisdiction1",0.0539418700000161,2.59198909216355
"84","159jurisdiction1",0.0405946384335867,2.60971811263705
"85","155preliminary_objections2",-1.76483838607959,0.335718386659118
"86","154preliminary_objections1b",0.113955534815464,-0.795123340977158
"87","160preliminary_objections2",-0.00940738289132484,5.46208669300561
"88","160preliminary_objections1",-0.34796336076693,3.32151191239
"89","155preliminary_objections1f",-1.75921079601005,0.328338654844594
"90","154preliminary_objections2b",0.121014612070808,-0.813285666818921
"91","161preliminary_objections1b",-3.60026112176117,-3.78888613633694
"92","166request_for_provisional_measures1a",-2.25530012195965,3.54040800480519
"93","161preliminary_objections3",-1.52454559008613,-2.24014658880198
"94","161preliminary_objections1a",-1.52219082580663,-2.25151479855454
"95","161preliminary_objections2",-3.62324159801512,-3.7698508164585
"96","153merits2",3.02566124031884,3.94981676447538
"97","157&165merits3a",3.27813588184061,-3.33599067563663
"98","172request_for_provisional_measures2",-0.815273624941892,-0.132371739467272
"99","153merits1",-3.0223581720481,-3.94268637359679
"100","150compensation1b",-2.46477933826362,1.95737626901276
"101","163preliminary_objections4",-2.42371843773082,2.06316484037866
"102","157&165merits2",3.25786724686333,-3.31310240645491
"103","172request_for_provisional_measures1",-0.622983404005643,0.365208511058103
"104","157&165merits1",3.51794703639047,3.79682702892063
"105","163preliminary_objections3",-2.42377156169181,2.0613577399904
"106","163preliminary_objections1",0.883493202210406,0.340546023525224
"107","169advisory_opinion5",-2.41104189299433,2.01737681972539
"108","164preliminary_objections2",0.791772451228698,0.0207433471629138
"109","166preliminary_objections2",-2.09192275964801,3.56954262906432
"110","166preliminary_objections1",-2.09534947746478,3.55165257920401
"111","169advisory_opinion2",-1.75257010205334,2.02536976806112
"112","169advisory_opinion4",-2.41181291694037,2.01061946374245
"113","169advisory_opinion3",-2.42909021727359,2.02497612758414
"114","164preliminary_objections3",-0.838794725910907,0.830440996855385
"115","163merits3",0.923965347344219,0.143948729393626
"116","163merits1",0.270344353738299,-0.00680498356851566
"117","163merits2",0.925387571083559,0.142906809577291
"118","171jurisdiction1",-0.800416996892862,1.35123157020409
"119","161judgment4",0.565208123716653,0.581178474247302
"120","172preliminary_objections2",-0.394934412504681,-1.39046184184235
"121","161judgment5",0.337976351632288,1.94553888716369
"122","180request_for_provisional_measures1c",-1.66587205344465,-0.157616077325896
"123","180request_for_provisional_measures1a",-1.67277356762528,-0.145061978735443
"124","172preliminary_objections1",0.387890409694341,1.37867336636224
"125","155judgment6",-1.13375011768821,0.053214048602883
"126","116reparations2",2.08639931406469,-1.63717638255848
"127","155judgment1",-0.552521704771819,0.0693901215652376
"128","155judgment4",-0.354829618802226,0.666748284305561
"129","155judgment7",-1.25229186031459,0.93621985968229
"130","182request_for_provisional_measures1",-2.7293290685393,3.99470305590693
"131","116reparations4",2.09009648825299,-1.65525681341374
"132","155judgment3",-0.355242321813023,0.671612515660373
"133","116reparations1b",3.15345339680068,2.14228230593042
"134","116reparations1a",3.14910651430887,2.13775926630884
"135","182request_for_provisional_measures2",-2.74530362390616,4.05151036236806
"136","155judgment2",-0.552051618331136,0.0820139252865501
"137","155judgment5",-1.69822398592124,0.47832876759975
"138","65advisory_opinion1",-5.48004677300028,2.99013858073743
"139","64judgment5",-3.5641855379987,3.59544555729476
"140","64judgment1",-5.15932604136414,3.46251070447527
"141","65advisory_opinion2",-5.42311127866229,2.95819188062082
"142","64judgment6",-5.75065502778057,2.23531009370358
"143","64judgment2",-5.16985264003012,3.49387775001819
"144","65advisory_opinion3",-3.38621449276107,3.30823800059139
"145","66advisory_opinion2A",-0.757161199155126,0.733543919302301
"146","63judgment1",0.892778486225637,0.892845227539322
"147","66advisory_opinion2B",-1.2228319256175,0.601593336959187
"148","66advisory_opinion1",-0.311110221833949,0.215280456668073
"149","67judgment1",-0.859884463636282,3.11152257992469
"150","70jurisdiction1b",-1.19925730250508,-0.177720528394913
"151","68application_to_intervene1",0.769623691159482,-4.33984015416303
"152","70jurisdiction1c",-1.85372796352335,-0.413900050868082
"153","70jurisdiction1a",-0.066807400975504,-4.89056939921359
"154","70declaration_of_intervention1",0.232515937207194,0.323751585274691
"155","70declaration_of_intervention2",1.85437888084561,0.416774622392342
"156","70request_for_provisional_measuresB2",-1.84349768410222,-0.412963078795648
"157","68judgment1",-2.36217563477982,-3.36547614708503
"158","70merits2",-1.78576154792407,-4.77940064221473
"159","70merits9",-4.93928333863841,-2.97276192881353
"160","70merits12",-1.77621040206595,-4.70743347977369
"161","70merits1",-1.12518811001353,1.28042637581826
"162","70merits3",-1.81150012139589,-4.76198687049248
"163","70merits8",-4.86865298397426,-2.95379423896416
"164","70merits10",-1.77588581705134,-4.75050081373035
"165","70merits5",-1.77408805393905,-4.72681415982932
"166","70merits14",-1.79424802273314,-0.353875783563982
"167","70merits7",-1.79114462964999,-0.359840093137395
"168","70merits11",-1.7804742990474,-4.71975818416263
"169","70merits4",-1.77252930567004,-4.75285046041869
"170","70merits15",-1.79614207318112,-0.362899188717853
"171","70merits6",-1.79215608521884,-4.81145216090142
"172","70merits13",-1.77971324503779,-4.77289680978138
"173","72advisory_opinion2",-0.845704766774989,-0.295976130394828
"174","76judgment3",0.763597608034944,-0.189956626407761
"175","76judgment2",0.746268168467436,-0.200246788479065
"176","75application_to_intervene1",-2.71809070957301,2.8213508441523
"177","82judgment2",1.50457271437404,-1.13867864919495
"178","82judgment3",2.31988804937939,-1.53683370095955
"179","80preliminary_objections1f",-0.0669485224306983,-4.80139039093262
"180","80preliminary_objections2",-0.0401098885858911,-4.79191313747222
"181","89request_for_provisional_measures1",1.18431388728554,-0.865126510597525
"182","80preliminary_objections1c",-4.90191824594149,-2.97275827552531
"183","80preliminary_objections1b",-4.82293880129532,-2.96623112045572
"184","80preliminary_objections1e",-4.85444985177182,-2.92982033286389
"185","80preliminary_objections1d",-4.85795804538937,-2.94204867326581
"186","88request_for_provisional_measures1",1.19751264597014,-0.876728706286335
"187","91request_for_provisional_measuresA2",-4.88929188626953,2.84820237507647
"188","91request_for_provisional_measures_22",-4.80524519437275,2.78771181175883
"189","91request_for_provisional_measures_21",-4.86327187352137,2.8196586253647
"190","87jurisdiction3",-4.82655848465475,-2.92205751497997
"191","87jurisdiction2",-4.91852277978372,-2.96224373317181
"192","87jurisdiction1",-4.87247306149582,-2.9588459524187
"193","87jurisdiction4",-4.88175863041029,-2.94581773228245
"194","87jurisdiction5",-4.86804490363773,-2.95746298518041
"195","87jurisdiction_&_admissibility2",-0.433063819690194,-0.590907393306502
"196","87jurisdiction_&_admissibility1",-0.42250310689027,-0.592832503125762
"197","84judgment1",4.45094387839816,-3.31803501344827
"198","121request_for_provisional_measures2",2.98756245431621,-2.29288888730675
"199","119jurisdiction1",-1.68564006194485,0.113186820150399
"200","104merits7",-4.36792727668753,-3.31851354302159
"201","104merits2a",-1.16681922360791,-0.881886463359473
"202","104merits1",-2.7960938156187,2.03963047730776
"203","87merits6",2.07354805066178,-2.36331913016446
"204","104merits2c",-0.741060206560686,-1.29987894436044
"205","104merits5",-1.15813017920676,-0.894347528959341
"206","104merits2d",-4.39167536075774,-3.30489995613824
"207","87merits2a",2.19449054968794,-3.09158263466525
"208","104merits2b",-4.41657682810431,-3.35236545365273
"209","104merits4",-4.37425337372428,-3.32461862690532
"210","87merits4",2.19826434068975,-3.09459690874281
"211","104merits3",-4.33370137296578,-3.27502805008702
"212","87merits3",-0.803301617128339,-2.05674148039199
"213","94judgment3a",-3.34631152510742,4.05133713992277
"214","94judgment5a",-3.83026134831054,3.66252288548806
"215","94judgment3c",-3.3625480727877,4.05641915890207
"216","94judgment4a",-1.15305570567903,-0.631124479197014
"217","121judgment1a",-4.26695990334359,-3.25483902086963
"218","121judgment1c",-4.34948515671142,-3.33001690097839
"219","121judgment1d",-4.37738892394106,-3.31667248652975
"220","94judgment4b",-3.35003941535378,4.03902590184993
"221","94judgment3b",-3.36427857514518,4.05612526453389
"222","121judgment3",0.261779343660313,-4.49522281751831
"223","94judgment1a",-3.83750315633195,3.65284633928249
"224","121judgment2",-1.41158661673106,-2.59944792557032
"225","121judgment1b",-4.36387484762903,-3.31787424268834
"226","126request_for_provisional_measures1",1.65875465185124,2.19216553086571
"227","94judgment1b",-3.86745884820308,3.69599457843192
"228","94judgment5c",-2.76239477144298,2.21188221701319
"229","94judgment2a",-3.88884634299865,3.71358642381031
"230","90merits2",-1.54554038808226,-1.43137450593198
"231","90merits1",1.05560666042486,2.52856961343629
"232","122judgment1",2.56261088271635,-2.6302044476989
"233","131advisory_opinion3C",-2.00047977581699,-4.11652130310343
"234","128merits6",-2.65187325411779,1.82844338300494
"235","128merits1",2.66790986994061,-1.82663044646946
"236","131request_for_an_advisory_opinion1",-1.85955119533221,-4.29905868024133
"237","131advisory_opinion3B",-1.97588907346611,-4.09866510034302
"238","128merits9",-2.66403287450991,1.81921558015963
"239","131advisory_opinion3D",-1.0699686290685,-3.50101072381603
"240","131advisory_opinion2",-1.9898806062031,-4.09119809288074
"241","128merits7",-2.66979973029402,1.82369998249821
"242","131advisory_opinion3A",-1.97919866345863,-4.09108655534628
"243","128merits4",-2.67928179630215,1.84346971382143
"244","128merits5",-2.65970261297938,1.82008581925058
"245","131advisory_opinion3E",-2.00393007474561,-4.14014253855367
"246","128merits8",-2.66608681469417,1.83517840918188
"247","123preliminary_objections2",0.53731147254804,1.71481423297745
"248","123preliminary_objections1b",0.528242820011668,1.7111021065626
"249","136judgment1c",-1.5320973259394,1.62796767417526
"250","136judgment1b",-2.6940116655867,1.98981081924648
"251","136judgment1d",1.56614296386223,-1.01890140439438
"252","97request_for_an_examination_of_the_situation3",4.11534772193256,-4.01949445524857
"253","97request_for_an_examination_of_the_situation2",4.13514838335622,-4.03756105984174
"254","97request_for_an_examination_of_the_situation1",4.11705374284984,-4.03369781751285
"255","91preliminary_objections3",-4.63328963977051,-3.02990513956716
"256","91preliminary_objections1b",-0.648125682535694,-0.572496707465812
"257","90preliminary_objections1",-2.17921293672766,-4.43326506079131
"258","95advisory_opinion1",-4.66040438382235,-3.0373344157671
"259","93advisory_opinion1",3.78728161037709,-4.3536528780212
"260","95advisory_opinion2B",3.77582110788158,-4.33835624755338
"261","95advisory_opinion2E",-0.193829705768711,0.541043040547498
"262","91preliminary_objections2a",-4.57889924731368,-2.9868770403311
"263","94request_for_provisional_measures3",-2.69155666483414,3.265890119516
"264","90preliminary_objections2",-2.17999079276377,-4.4376440036856
"265","91counter_claimB",4.44316144236628,-3.57415424028337
"266","92judgment2d",0.734596777250891,0.44046701869755
"267","92judgment2a",0.591970616684889,0.0618639774289228
"268","92judgment2b",0.831887732836146,0.218803442281115
"269","92judgment1b",0.227772061673665,-0.0833838877900975
"270","92judgment1c",-0.499835834144896,-0.325435611124639
"271","92judgment1d",0.600029665597982,0.0639032215464316
"272","92judgment2e",0.834210452478304,0.213548246701765
"273","91counter_claimA",4.44130263442527,-3.5596005302026
"274","92judgment2c",0.829854953560707,0.213184348082158
"275","92judgment1a",1.71575775172698,-0.127996461330643
"276","89preliminary_objections2a",-0.488262825733483,-3.92082911401026
"277","89preliminary_objections1b",-2.1405259193561,-4.43173367949273
"278","94preliminary_objections1g",0.484983283020985,0.797212892195997
"279","89preliminary_objections2b",-0.487942244451246,-3.97674743419445
"280","94preliminary_objections1d",0.802370543566532,0.464922735817859
"281","94preliminary_objections1b",3.2936467290164,-2.2796776347344
"282","94preliminary_objections1e",0.79673472127048,0.428726305729707
"283","89preliminary_objections3",0.604893489617471,-3.21446550371293
"284","89preliminary_objections1a",-2.12890090230367,-4.3768445770807
"285","94preliminary_objections3",-4.31875625414086,4.25912938259511
"286","96jurisdiction1",1.89089299801435,-2.22026463737082
"287","94preliminary_objections2",0.487996134565214,0.799252745201034
"288","94preliminary_objections1c",3.26323879740285,-2.24998433652596
"289","94preliminary_objections4",-4.32018818116609,4.27782570041452
"290","94preliminary_objections1a",4.31900431074313,-4.24703549042984
"291","94preliminary_objections1f",3.26563484369427,-2.24548872479952
"292","108request_for_provisional_measures1",2.03388867445844,-1.5466738482549
"293","111request_for_provisional_measures2",4.62297892098891,2.99027385513798
"294","98judgment2",-1.56282639392209,1.75565207840408
"295","100advisory_opinion2B",-3.25283067289314,2.24425886601264
"296","106request_for_provisional_measures1",2.70211910250536,-3.0541068610953
"297","105request_for_provisional_measures2",4.63399794321591,3.01785384434125
"298","113request_for_provisional_measures2",4.68333826793946,3.00985832824095
"299","112request_for_provisional_measures1",2.0479752889201,-1.56493651769235
"300","100advisory_opinion1B",-3.31540232147675,2.29117527411884
"301","107request_for_provisional_measures2",4.65834603146776,3.00896527256084
"302","114request_for_provisional_measures1",2.04675787667907,-1.56002962539196
"303","111request_for_provisional_measures1",2.68253579428178,-3.04274341599749
"304","110request_for_provisional_measures2",4.63205925517817,2.9977889809595
"305","109request_for_provisional_measures1",2.03015327546902,-1.54535725969834
"306","113request_for_provisional_measures1",2.03933349152951,-1.56059970404534
"307","101request_for_interpretation1",4.18947400477546,-4.24917871562934
"308","112request_for_provisional_measures2",2.09479433689625,-1.62579837438241
"309","106request_for_provisional_measures2",4.60313740910814,2.97768066270634
"310","100advisory_opinion2A",-1.13335513403057,-0.666273633186113
"311","107request_for_provisional_measures1",2.05824450612465,-1.57238161301759
"312","100advisory_opinion4",-1.13491685763333,-0.652096915077628
"313","105request_for_provisional_measures1",2.66532133397011,-3.01964889336906
"314","109request_for_provisional_measures2",4.67502321738619,3.0190360580995
"315","98judgment1",-1.57557289977999,1.76306424682642
"316","108request_for_provisional_measures2",4.60377848935899,2.97106073052993
"317","114request_for_provisional_measures2",2.09406174183256,-1.61296606568625
"318","110request_for_provisional_measures1",2.70816908506656,-3.07022503414141
"319","100advisory_opinion1A",-3.27902299968955,2.25999315428642
"320","58judgment1",1.88505494554207,4.47449080057
"321","59judgment1",1.89479121066214,4.56158165023459
"322","103compensation3",1.57659648613976,1.84261507066934
"323","62jurisdiction1",4.83177229953395,2.21360442788902
"324","75judgment432/3",-4.23327860288477,-2.85949729765095
"325","75judgment432 /1",-4.20096714641181,-2.8666538033455
